UUID,IP,NAME,TAGS(Category:Value)
69272c5c-1772-4a0f-a922-560c01b9d075,192.168.0.76,hyperv2012.hyperv.dc.demo.io,
626dfe22-c593-4b9f-a9b0-5fb357c1870e,192.168.48.116,win2012r2.dc.demo.io,
688c1d5f-06ec-41c6-a46c-ac376891b33d,192.168.48.33,ubuntu2010desk.dc.demo.io,
acab90e5-70d2-46f4-8b1d-ca3840bc0370,192.168.0.117,oracledb11sol10.dc.demo.io,
4c603c6c-6854-4959-9848-bcc4e8dea424,192.168.48.104,rhel7.dc.demo.io,
29e71b64-98cd-410b-a245-21f3a52ea6f9,192.168.0.53,idrac-r320.dc.demo.io,
4e0650c8-b44d-41b0-a959-34e2ca89d59d,192.168.48.66,ubu2010serv.dc.demo.io,
465522c6-097f-4e6f-ae3a-8fc377512832,192.168.0.14,tenable-ot.dc.demo.io,
bf568336-12b7-4885-a2bb-74c066517f04,192.168.0.222,cisco861.dc.demo.io,
dc3df39a-fc80-48d3-8035-ec74ffa400cf,192.168.0.226,nexus3048-1.dc.demo.io,
b8fe6598-7c6e-496b-b092-49458099f659,192.168.48.63,kali2021.dc.demo.io,
002dc726-5a2c-4b1a-8022-d331380a3824,192.168.0.51,sonicwalltz300.dc.demo.io,
ccfb5dd9-34d9-4371-a1ab-92af4d4566a4,192.168.97.55,tenable-director.dc.demo.io,
45417c8f-8858-4fb5-bfc9-7b4aa1b652e3,192.168.0.91,pat-dc.dc.demo.io,
599c7c28-aeee-492d-a831-d31e55834a37,192.168.0.87,juniperctpserver.dc.demo.io,
0454fbad-bbb6-4b13-bc17-b68ef77b26f5,10.0.0.38,ip-10-0-0-38.ap-southeast-1.compute.internal,
824292ea-5283-4e77-8338-7844d8aec8ea,172.26.48.10;192.168.48.10,dc1.target.tenablesecurity.com;dc1.dc.demo.io,
60770bf6-bc1b-4ce1-847d-94a85f3eca47,10.0.0.12,ip-10-0-0-12.us-east-2.compute.internal,
154347cb-c7e2-4ed2-820e-a09f6b489181,192.168.97.75,tenable-7b1dvpv7.dc.demo.io,
6efbbbfc-fbaf-4640-982a-e2d807589bc8,192.168.0.11,ciscowap.dc.demo.io,
1742564c-f8a2-4b8c-8f30-67c6e340fedb,192.168.48.150,opensuse42.dc.demo.io,
ecfadfda-2ef4-4f9e-a815-ed09b0632d61,192.168.0.67,sol10ora11.dc.demo.io,
b6793dfe-0372-43f2-b5e3-5bfe9c8ce6d5,192.168.48.117,win1032.dc.demo.io,
8bfa0550-614b-45e1-a777-e09fced7d286,192.168.0.60,hypervdc.hyperv.dc.demo.io,
451a3678-b256-45e3-8d3f-267ed42cf979,192.168.0.107,merakms120-8.dc.demo.io,
4d4f0e9d-f1bf-4ac2-a607-274021fd6f5e,192.168.0.73,linksysea2700.dc.demo.io,
fdd35a82-fc36-466c-bff2-55206b8962ae,192.168.18.221,centos8.dc.demo.io,
989c9543-5041-4c3a-b0a0-39f2286e62e8,192.168.97.72,sachit-test3.dc.demo.io,
e5a3c35f-452c-439e-b8fe-923250491a9f,192.168.97.45,mdinh-virtual-machine.dc.demo.io,
e2682a04-1980-4e3a-af8f-397dd2f76893,192.168.48.62,debian10.dc.demo.io,
fd5b9ca8-7de0-48e7-ad10-cfced3ac8c74,192.168.0.106,merakimx64.dc.demo.io,
13cc1469-081e-4463-bc96-7d298cdef939,192.168.48.16,sharepoint2016.dc.demo.io,
4e8d5620-c18a-4d26-a457-d95a569dc780,172.26.48.52,rhel6x86.target.tenablesecurity.com,
688f19e7-2135-443b-8697-597bb23ea679,192.168.97.102,abhishek-test2.dc.demo.io,
167b4eef-c1ad-4658-8f9b-1ac9f5ee3197,192.168.0.105,merakimr20.dc.demo.io,
1a1a9b88-fd92-406a-9602-9677427cf582,3.248.253.240;10.0.0.55,ec2-3-248-253-240.eu-west-1.compute.amazonaws.com;ip-10-0-0-55.eu-west-1.compute.internal,
bcfc88bd-25eb-468a-84a2-1461d2ce9cb5,10.0.0.8;3.249.217.131,ec2-3-249-217-131.eu-west-1.compute.amazonaws.com;ip-10-0-0-8.eu-west-1.compute.internal,
7b9bcb08-32a8-4ab2-b57c-6cf77891779c,10.0.0.71;3.250.81.53,ec2-3-250-81-53.eu-west-1.compute.amazonaws.com;ip-10-0-0-71.eu-west-1.compute.internal,
db9730b6-ed81-487d-8811-e2d3aff815d2,52.59.209.159;10.0.0.71,ec2-52-59-209-159.eu-central-1.compute.amazonaws.com;ip-10-0-0-71.eu-central-1.compute.internal,
39dbcd1c-be77-4913-8889-af65b6d8e80c,10.0.2.5;3.145.208.108,ec2-3-145-208-108.us-east-2.compute.amazonaws.com;ip-10-0-2-5.us-east-2.compute.internal,
d6bb3d09-6c20-4ce7-982a-abf607ab3b32,10.0.0.7;18.158.162.12,ec2-18-158-162-12.eu-central-1.compute.amazonaws.com;ip-10-0-0-7.eu-central-1.compute.internal,
8963d9f9-9d86-4c46-889e-38b59ed85b31,10.0.2.246;18.191.87.147,ec2-18-191-87-147.us-east-2.compute.amazonaws.com;ip-10-0-2-246.us-east-2.compute.internal,
d7d19d7a-e05a-4f53-8c33-2e243aef6598,10.0.0.181;3.249.79.6,ip-10-0-0-181.eu-west-1.compute.internal,
6216c396-367a-4f21-8ab7-64bc809c316d,10.0.0.158;3.252.31.74,ec2-3-252-31-74.eu-west-1.compute.amazonaws.com;ip-10-0-0-158.eu-west-1.compute.internal,
1cb7a157-a0b0-4eb5-a3c6-ee2f7947490b,192.168.48.25,freebsd13.dc.demo.io,
020aaacb-ed23-47df-8ed7-69cc895ee842,192.168.97.54,tenablesc-isprint-64.dc.demo.io,
edf7f4cb-15b2-40ca-82f1-e5917f1a5a09,192.168.97.76,tenable-rpg3mu69.dc.demo.io,
b74c5b86-fd5a-4a52-88db-7d3a03892a10,192.168.97.63,admins-mac-9.dc.demo.io,
0a02c8f9-dfba-438f-94ca-8707eac16fa1,192.168.48.20,esxi6u3a.dc.demo.io,
f20fafb3-6804-427f-9715-0a909390a22e,192.168.97.60,sachit-test1.dc.demo.io,
38b2d243-5be8-4643-b61b-9a250b7a633e,192.168.0.200,bal-lab-hyp-001.dc.demo.io,
7bd4a477-66a4-4425-8152-1a7bba734650,192.168.48.32,ubuntu2004serv.dc.demo.io,
3c7345fd-141f-4677-8f4d-b9da7662af69,192.168.48.153,debian9.dc.demo.io,
5c9c3796-e49f-48ca-852b-9573cff6fbb2,192.168.48.50,mysql.dc.demo.io,
23aa99c7-9e89-458c-bc36-4a42298e9995,192.168.48.40,openmandriva4.dc.demo.io,
5691cfce-15a0-4d04-83ba-06e4291cc987,192.168.97.58,squid.dc.demo.io,
2740142b-c032-429f-844b-63876c45e6aa,192.168.48.61,fedoraserv33.dc.demo.io,
3fb663f7-df2c-41f0-b1ec-71ec8727d96b,192.168.0.20,netservices3.dc.demo.io,
4015eb30-0483-4237-958e-7acfe6739082,192.168.0.38,bal-lab-hyp-004.hyperv.dc.demo.io,
47a921bc-5e28-4b40-a5c0-67ede044a3b2,172.26.48.97;192.168.48.97,windows81.target.tenablesecurity.com;windows81.dc.demo.io,
abe894e8-a975-42d6-9b12-56c30f8343dd,192.168.48.93,adsitarget.adsitarget.dc.demo.io,
dfbbb3c1-a107-441b-bdee-0e3231e80ef8,192.168.0.77,adtran.dc.demo.io,
1903e191-05ab-464c-80f0-09654fcfc58b,172.26.48.115;192.168.48.115,sccm.target.tenablesecurity.com;sccm.dc.demo.io,
7cdbb0d3-6e68-489b-86d4-6b5323e2bca0,192.168.0.21,netservices4.dc.demo.io,
82bda482-a8e0-45eb-bd9d-55bbe71e1e46,10.0.0.159,ip-10-0-0-159.ap-southeast-1.compute.internal,
d6ac08a0-9c4a-4326-b660-f2b2ba0ffa5d,192.168.48.123,oracle11g.dc.demo.io,
b61b50be-e557-499c-b8ab-b402dc487111,192.168.97.80,ubuntu204.dc.demo.io,
cef52699-1972-4289-b1c4-ae37675e21ca,192.168.97.88,tenable-3rzx9eug.dc.demo.io,
a89ee854-d802-47e1-a819-d6d59b4491f9,192.168.48.100,solaris11.dc.demo.io,
ae524edd-07bb-4068-9f7e-ddc29bbd07db,192.168.48.26,vcsa671.dc.demo.io,
d899fd2a-b2a8-4b53-ba0c-9264b2a9a3d2,10.0.2.99,ip-10-0-2-99.eu-central-1.compute.internal,
12f42511-a246-4ca5-85ce-9d84b655c596,10.0.2.245;3.126.164.191,ec2-3-126-164-191.eu-central-1.compute.amazonaws.com;ip-10-0-2-245.eu-central-1.compute.internal,
b67eede7-f24b-4e71-b8ea-5f57ff056e77,192.168.9.9;52.1.251.248,ec2-52-1-251-248.compute-1.amazonaws.com;ip-192-168-9-9.ec2.internal,
0a2ca35b-ce71-45ed-b493-606e4f0a930f,10.0.2.5;3.91.0.72,ec2-3-91-0-72.compute-1.amazonaws.com;ip-10-0-2-5.ec2.internal,
ae81a2a2-4ad6-47cb-9e97-5aac9d83d419,10.0.2.244;3.121.39.142,ec2-3-121-39-142.eu-central-1.compute.amazonaws.com;ip-10-0-2-244.eu-central-1.compute.internal,
82a2dead-9406-4361-bbc9-4d2fe775b454,10.0.2.87;13.125.179.78,ec2-13-125-179-78.ap-northeast-2.compute.amazonaws.com;ip-10-0-2-87.ap-northeast-2.compute.internal,
afb8fa75-cf65-4485-b7ed-474fe3fa7c30,192.168.10.219,ip-192-168-10-219.ec2.internal,
1423e791-be99-41c0-b4a9-de4715dccff6,172.31.3.19,ip-172-31-3-19.us-west-1.compute.internal,
425af7e4-26eb-46dd-983c-bfa9834dabc9,3.36.17.246;10.0.2.34,ec2-3-36-17-246.ap-northeast-2.compute.amazonaws.com;ip-10-0-2-34.ap-northeast-2.compute.internal,
cb8dc905-807d-44b9-bbc2-675e5133b60a,10.168.10.10,ip-10-168-10-10.data.tenable.com,
a906b267-3dcb-4782-9b7d-2b3b91a0dc6f,10.0.2.6;18.212.204.91,ec2-18-212-204-91.compute-1.amazonaws.com;ip-10-0-2-6.ec2.internal,
1a9b617d-06ae-4cae-91de-ebf9727aec15,172.31.6.105,ip-172-31-6-105.us-west-1.compute.internal,
13dd657a-9502-4fc5-ae5e-79e5f810d5fd,192.168.11.158,ip-192-168-11-158.ec2.internal,
b95e6009-3e63-4b0d-82f1-3320fd550f55,192.168.11.219,ip-192-168-11-219.ec2.internal,
69610f44-7d9f-4836-86d1-9a7983a677e9,54.241.251.238;172.31.25.210,ec2-54-241-251-238.us-west-1.compute.amazonaws.com;ip-172-31-25-210.us-west-1.compute.internal,
696377a5-2137-408d-92b7-927afb2cb63d,54.196.1.196;172.31.6.167,ec2-54-196-1-196.compute-1.amazonaws.com;ip-172-31-6-167.ec2.internal,
920a482e-762b-49ea-b2ab-d11c8128108e,52.91.181.64;172.31.8.5,ec2-52-91-181-64.compute-1.amazonaws.com;ip-172-31-8-5.ec2.internal,
14e89e4a-5967-4896-8080-c012c917c991,10.0.2.161,ip-10-0-2-161.us-west-1.compute.internal,
5f88d26e-65ea-40e8-a13c-016a00fffbfb,10.0.1.31;3.35.137.102,ip-10-0-1-31.ap-northeast-2.compute.internal,
b5217dba-0d28-4495-91f6-52622355800a,10.0.0.71,ip-10-0-0-71.eu-west-2.compute.internal,
505fda08-d3a5-48e8-97b2-bdf3f74253b3,18.169.188.25;10.0.2.247,ec2-18-169-188-25.eu-west-2.compute.amazonaws.com;ip-10-0-2-247.eu-west-2.compute.internal,
675f294a-8352-46eb-8c00-9bb202f287e9,54.183.171.198;172.31.18.90,ec2-54-183-171-198.us-west-1.compute.amazonaws.com;ip-172-31-18-90.us-west-1.compute.internal,
ed1350c2-b1b0-4ab4-aa45-55c839d79869,10.0.1.201;13.56.232.20,ip-10-0-1-201.us-west-1.compute.internal,
fa1ecbb4-2099-47e7-a1ca-437698cf2cbf,192.168.10.10;18.206.233.101,ec2-18-206-233-101.compute-1.amazonaws.com;ip-192-168-10-10.ec2.internal,
e5084f89-c6ff-4b76-8df7-4fb515d252cf,54.183.214.239;10.0.2.229,ec2-54-183-214-239.us-west-1.compute.amazonaws.com;ip-10-0-2-229.us-west-1.compute.internal,
00924c1b-8fc9-4509-982b-d4aae283632e,172.26.48.51,rhel5x64.target.tenablesecurity.com,
cdd1f164-a1be-49a9-b76d-ae9d03afe7b0,172.26.48.150,opensuse42_2.target.tenablesecurity.com,
1551a8b0-e8de-4cce-9e9d-1b0f82a3f646,172.26.48.123,oracleg11.target.tenablesecurity.com,
5a27af8d-bd2d-4255-8864-b229454626ef,172.26.48.18,sql2014.target.tenablesecurity.com,
bc035214-5d6d-4f58-82ee-f08d2aee0396,172.26.48.43,opensuse10.target.tenablesecurity.com,
e0facfd1-ea14-4bc9-a6aa-8bbcf6784410,172.26.48.108,mint17.target.tenablesecurity.com,
48bbe0f1-c295-4743-be27-8588c6538649,172.26.48.89,mstmgproxy.target.tenablesecurity.com,
33f1d85f-ab01-4cd5-b311-250e8c5681ce,172.26.48.119,segvip.target.tenablesecurity.com,
cd1e0dfe-1f9c-43af-a6ff-ddd04d4f24d9,172.26.48.110,esxi51machine1.target.tenablesecurity.com,
bd30e1de-affb-40c2-8bcc-eb7242f6bbf3,172.26.48.126,osx1011.target.tenablesecurity.com,
fefd99eb-1c3f-4965-8a63-730b0cb14012,172.26.48.44,opensuse12.target.tenablesecurity.com,
1d1f8bc9-a16d-402f-a85d-351351ab5005,172.26.48.111,esxi51machine2.target.tenablesecurity.com,
5b5020d1-d6cc-49ef-9c89-ce4a49839271,172.26.48.96,freebsd9.target.tenablesecurity.com,
438e22e2-326f-4899-948b-7ada83e49857,172.26.48.130,debian832.target.tenablesecurity.com,
c18f6078-cba8-435c-b6fc-aa1f1fcd5440,172.26.48.155,fedoraserver26.target.tenablesecurity.com,
badc872c-f89b-4039-96d0-977740fe291b,10.0.2.34;3.98.138.84,ec2-3-98-138-84.ca-central-1.compute.amazonaws.com;ip-10-0-2-34.ca-central-1.compute.internal,
